"Time","PS_1","PS_2","PS_3","PS_4","PS_5","Y"
0.023335885,3.740000101,3.740006777,2.539999712,2.539999917,2.839999921,1
0.026855813,3.740000123,3.740007814,2.539999643,2.539999894,2.839999898,1
0.031698505,3.740000155,3.740009241,2.53999954,2.539999859,2.839999864,1
0.036541198,3.740000188,3.740010669,2.539999428,2.539999819,2.839999825,1
0.042429474,3.740000231,3.740012404,2.539999282,2.539999766,2.839999772,1
0.049931092,3.74000029,3.740014615,2.539999081,2.53999969,2.839999698,1
0.058663974,3.740000361,3.740017188,2.539998827,2.53999959,2.839999602,1
0.067396855,3.740000437,3.740019758,2.539998552,2.53999948,2.839999498,1
0.078142865,3.740000535,3.740022917,2.53999819,2.539999329,2.839999358,1
0.091795199,3.740000666,3.740026926,2.539997693,2.539999117,2.839999162,1
0.105447533,3.740000804,3.740030927,2.539997158,2.539998882,2.839998946,1
0.121970961,3.740000979,3.740035761,2.539996464,2.53999857,2.839998654,1
0.142824503,3.740001211,3.740041846,2.539995522,2.539998132,2.839998238,1
0.163678045,3.740001455,3.740047916,2.539994511,2.539997646,2.839997775,1
0.188937712,3.740001764,3.740055246,2.539993201,2.539997,2.839997156,1
0.220714183,3.740002171,3.740064435,2.539991433,2.539996102,2.839996293,1
0.252490654,3.740002599,3.740073589,2.53998954,2.539995113,2.839995341,1
0.290746544,3.740003136,3.740084565,2.539987109,2.53999381,2.839994082,1
0.338594586,3.74000384,3.740098229,2.539983856,2.539992016,2.839992346,1
0.386442627,3.740004576,3.740111823,2.539980383,2.539990049,2.839990439,1
0.443884592,3.740005498,3.740128058,2.539975948,2.539987474,2.839987936,1
0.515453232,3.740006697,3.740148161,2.539970053,2.539983958,2.839984511,1
0.587021873,3.740007949,3.740168134,2.539963777,2.539980121,2.839980765,1
0.658590513,3.740009247,3.740187983,2.539957152,2.53997598,2.839976716,1
0.757652475,3.740011115,3.740215267,2.539947456,2.53996978,2.839970642,1
0.884354125,3.74001361,3.74024986,2.539934237,2.539961108,2.83996213,1
1.011055774,3.740016214,3.740284134,2.539920178,2.539951654,2.839952832,1
1.137757424,3.740018917,3.740318107,2.539905349,2.539941469,2.8399428,1
1.306077615,3.740022643,3.740362808,2.539884573,2.539926891,2.839928421,1
1.520414268,3.740027593,3.740419064,2.539856496,2.53990672,2.839908492,1
1.73475092,3.740032751,3.740474621,2.53982676,2.539884872,2.839886875,1
1.985352322,3.740039021,3.740538756,2.539790102,2.539857372,2.839859633,1
2.303220982,3.740047306,3.740618927,2.539740963,2.539819712,2.839822281,1
2.621089642,3.740055932,3.740697865,2.539689136,2.539779176,2.839782034,1
2.986325648,3.740066221,3.740787159,2.53962661,2.539729362,2.83973253,1
3,3.740066613,3.740790475,2.539624213,2.539727435,2.839730614,1
3,3.740066613,3.740790475,2.539624213,2.539727435,2.839730614,1
3,3.740066613,3.740790475,2.539624213,2.539727435,2.839730614,1
3.000217644,3.740066618,3.740790528,2.539624175,2.539727404,2.839730584,1
3.000435287,3.74006662,3.740790581,2.539624137,2.539727373,2.839730553,1
3.000722198,3.740066621,3.74079065,2.539624086,2.539727332,2.839730513,1
3.00100911,3.74006662,3.74079072,2.539624036,2.539727292,2.839730472,1
3.001379331,3.740066616,3.740790809,2.539623971,2.53972724,2.83973042,1
3.001852578,3.740066606,3.740790924,2.539623888,2.539727173,2.839730354,1
3.002325825,3.740066591,3.740791039,2.539623804,2.539727106,2.839730287,1
3.002799072,3.740066572,3.740791153,2.539623721,2.539727039,2.839730221,1
3.003429603,3.740066539,3.740791306,2.53962361,2.53972695,2.839730132,1
3.004221778,3.740066488,3.740791498,2.539623471,2.539726838,2.839730021,1
3.005013952,3.740066426,3.74079169,2.539623332,2.539726726,2.839729909,1
3.005806126,3.740066356,3.740791882,2.539623193,2.539726614,2.839729798,1
3.00685712,3.74006625,3.740792136,2.539623008,2.539726465,2.83972965,1
3.008184733,3.740066095,3.740792458,2.539622774,2.539726277,2.839729463,1
3.009635421,3.740065904,3.740792809,2.539622519,2.539726072,2.839729259,1
3.011086108,3.740065689,3.74079316,2.539622264,2.539725866,2.839729055,1
3.012838011,3.740065402,3.740793584,2.539621956,2.539725618,2.839728808,1
3.014993394,3.74006501,3.740794106,2.539621576,2.539725313,2.839728505,1
3.017148776,3.740064577,3.740794627,2.539621197,2.539725007,2.839728201,1
3.019304158,3.740064105,3.740795149,2.539620817,2.539724702,2.839727897,1
3.02222027,3.74006341,3.740795854,2.539620303,2.539724288,2.839727486,1
3.025887437,3.740062447,3.74079674,2.539619657,2.539723768,2.839726968,1
3.029864629,3.740061297,3.7407977,2.539618956,2.539723203,2.839726407,1
3.033841821,3.740060045,3.74079866,2.539618254,2.539722638,2.839725845,1
3.037819012,3.740058694,3.740799618,2.539617552,2.539722072,2.839725283,1
3.041796204,3.740057251,3.740800577,2.53961685,2.539721506,2.83972472,1
3.045773396,3.740055718,3.740801534,2.539616147,2.53972094,2.839724157,1
3.050733178,3.740053687,3.740802727,2.539615271,2.539720233,2.839723454,1
3.056334438,3.740051241,3.740804072,2.53961428,2.539719435,2.83972266,1
3.061935698,3.74004864,3.740805415,2.539613289,2.539718635,2.839721865,1
3.067536958,3.74004589,3.740806757,2.539612297,2.539717835,2.839721069,1
3.073138218,3.740042998,3.740808097,2.539611304,2.539717034,2.839720273,1
3.078739478,3.740039968,3.740809434,2.53961031,2.539716232,2.839719476,1
3.084340739,3.740036806,3.74081077,2.539609316,2.53971543,2.839718678,1
3.091146166,3.740032793,3.74081239,2.539608107,2.539714454,2.839717707,1
3.097951593,3.740028598,3.740814007,2.539606898,2.539713477,2.839716736,1
3.104757021,3.740024227,3.74081562,2.539605687,2.539712499,2.839715763,1
3.111562448,3.740019687,3.74081723,2.539604475,2.539711519,2.83971479,1
3.118367876,3.740014983,3.740818837,2.539603262,2.539710539,2.839713815,1
3.126668903,3.740009032,3.740820792,2.539601781,2.539709342,2.839712624,1
3.135950183,3.740002108,3.740822971,2.539600123,2.539708002,2.839711291,1
3.145231464,3.73999491,3.740825144,2.539598464,2.539706659,2.839709956,1
3.154512744,3.739987447,3.74082731,2.539596802,2.539705315,2.839708619,1
3.163794024,3.739979728,3.740829469,2.539595138,2.539703968,2.83970728,1
3.173075305,3.739971762,3.740831621,2.539593473,2.53970262,2.839705939,1
3.182356585,3.739963557,3.740833765,2.539591805,2.53970127,2.839704596,1
3.191637865,3.739955119,3.740835903,2.539590135,2.539699917,2.839703251,1
3.200919146,3.739946455,3.740838033,2.539588464,2.539698563,2.839701904,1
3.210200426,3.739937571,3.740840156,2.53958679,2.539697207,2.839700555,1
