"Time","PS_1","PS_2","PS_3","PS_4","PS_5","Y"
0,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000002,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000005,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000008,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.00000001,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000012,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000014,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000016,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000019,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000022,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000025,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000029,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000033,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000036,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.00000004,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000045,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000052,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000058,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000064,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000072,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.00000008,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000089,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000098,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.00000011,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000121,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000135,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000153,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.00000017,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000188,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000212,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000241,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.00000027,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000294,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000313,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000332,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000347,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000362,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000389,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.00000047,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000578,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000685,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000793,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000000901,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000001051,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000001247,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000001444,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000001641,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000001917,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000002279,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000002641,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000003003,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000003508,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000004175,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000004841,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000005624,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000006623,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000007806,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.00000899,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000010461,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000012351,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000014553,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000016754,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000019481,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000022974,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000026466,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000030722,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000036168,3.740000001,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000041615,3.74,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000048265,3.74,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000056728,3.74,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000066549,3.74,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000077534,3.739999999,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000090192,3.739999999,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000102849,3.739999998,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000119104,3.739999997,3.740000003,3.440000003,3.440000003,3.640000003,1
3.00013992,3.739999996,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000160736,3.739999995,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000185367,3.739999994,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000209998,3.739999992,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000234629,3.73999999,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000272144,3.739999988,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000321688,3.739999984,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000371231,3.73999998,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000426092,3.739999975,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000493498,3.739999969,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000560903,3.739999962,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000644818,3.739999954,3.740000003,3.440000003,3.440000003,3.640000003,1
3.000750904,3.739999942,3.740000002,3.440000003,3.440000003,3.640000003,1
3.000856989,3.73999993,3.740000002,3.440000003,3.440000003,3.640000003,1
3.000963075,3.739999917,3.740000002,3.440000003,3.440000003,3.640000003,1
3.001109733,3.739999898,3.740000002,3.440000003,3.440000003,3.640000003,1
3.00129821,3.739999873,3.740000002,3.440000003,3.440000003,3.640000003,1
3.001486688,3.739999846,3.740000002,3.440000003,3.440000003,3.640000003,1
3.001675165,3.739999817,3.740000002,3.440000003,3.440000003,3.640000003,1
3.001863643,3.739999788,3.740000001,3.440000003,3.440000003,3.640000003,1
3.00205212,3.739999757,3.740000001,3.440000003,3.440000003,3.640000003,1
3.002299533,3.739999716,3.740000001,3.440000003,3.440000003,3.640000003,1
3.002663169,3.739999652,3.74,3.440000003,3.440000003,3.640000003,1
3.003119551,3.739999566,3.739999999,3.440000003,3.440000003,3.640000003,1
3.003575932,3.739999477,3.739999998,3.440000003,3.440000003,3.640000003,1
3.004032314,3.739999383,3.739999997,3.440000003,3.440000003,3.640000003,1
3.004480532,3.739999287,3.739999996,3.440000002,3.440000003,3.640000003,1
3.00492875,3.739999188,3.739999995,3.440000002,3.440000003,3.640000003,1
3.005376968,3.739999086,3.739999993,3.440000002,3.440000003,3.640000003,1
3.005825186,3.739998981,3.739999992,3.440000002,3.440000002,3.640000003,1
3.006728532,3.73999876,3.739999989,3.440000001,3.440000002,3.640000002,1
3.007982723,3.739998437,3.739999984,3.44,3.440000001,3.640000002,1
3.009236915,3.739998095,3.739999979,3.439999999,3.44,3.640000001,1
3.010491106,3.739997737,3.739999973,3.439999998,3.44,3.64,1
3.011745297,3.739997362,3.739999967,3.439999996,3.439999998,3.639999999,1
3.012999489,3.739996974,3.73999996,3.439999995,3.439999997,3.639999998,1
3.014885249,3.739996363,3.73999995,3.439999992,3.439999995,3.639999996,1
3.017318748,3.739995532,3.739999934,3.439999988,3.439999993,3.639999993,1
3.019752247,3.739994656,3.739999917,3.439999983,3.43999999,3.639999991,1
3.022185746,3.739993737,3.739999899,3.439999978,3.439999987,3.639999987,1
3.025236108,3.739992529,3.739999873,3.439999971,3.439999982,3.639999983,1
3.028494667,3.739991172,3.739999844,3.439999962,3.439999977,3.639999978,1
3.031753226,3.739989751,3.739999813,3.439999952,3.439999971,3.639999972,1
3.035011785,3.739988268,3.739999779,3.439999942,3.439999964,3.639999965,1
3.038270344,3.739986726,3.739999743,3.43999993,3.439999957,3.639999958,1
3.041528903,3.739985128,3.739999705,3.439999917,3.439999949,3.63999995,1
3.044787462,3.739983475,3.739999665,3.439999904,3.43999994,3.639999941,1
3.048046022,3.739981769,3.739999623,3.439999889,3.43999993,3.639999932,1
3.05076024,3.739980309,3.739999586,3.439999877,3.439999922,3.639999923,1
3.053474459,3.739978814,3.739999549,3.439999863,3.439999913,3.639999915,1
3.055129848,3.739977885,3.739999525,3.439999855,3.439999907,3.639999909,1
3.056785236,3.739976944,3.7399995,3.439999846,3.439999902,3.639999903,1
3.058440624,3.739975991,3.739999476,3.439999837,3.439999896,3.639999898,1
3.060096013,3.739975026,3.739999451,3.439999828,3.43999989,3.639999891,1
3.062544654,3.739973576,3.739999412,3.439999814,3.43999988,3.639999882,1
3.066077738,3.739971439,3.739999355,3.439999793,3.439999866,3.639999868,1
3.069610823,3.73996925,3.739999296,3.439999771,3.439999852,3.639999854,1
3.073143907,3.73996701,3.739999235,3.439999748,3.439999836,3.639999838,1
3.077974318,3.739963867,3.739999148,3.439999715,3.439999814,3.639999816,1
3.084111841,3.739959743,3.739999032,3.439999671,3.439999784,3.639999786,1
3.090249365,3.739955479,3.73999891,3.439999623,3.439999751,3.639999754,1
3.096386888,3.739951079,3.739998782,3.439999573,3.439999717,3.639999719,1
3.104199208,3.739945289,3.739998611,3.439999504,3.43999967,3.639999673,1
3.113812835,3.739937883,3.739998388,3.439999414,3.439999607,3.639999611,1
3.123426462,3.739930179,3.739998151,3.439999316,3.43999954,3.639999545,1
3.134406049,3.739921033,3.739997864,3.439999197,3.439999457,3.639999464,1
3.147634265,3.739909543,3.739997496,3.439999041,3.439999348,3.639999359,1
3.162790363,3.739895775,3.739997044,3.439998847,3.439999213,3.639999229,1
3.179654427,3.739879737,3.739996505,3.439998612,3.439999048,3.639999071,1
3.196518492,3.739862979,3.739995929,3.439998357,3.439998868,3.639998899,1
3.21745791,3.739841225,3.739995162,3.439998014,3.439998625,3.639998666,1
3.233029419,3.739824394,3.739994557,3.439997739,3.439998431,3.639998477,1
3.248600927,3.739807033,3.739993921,3.439997448,3.439998224,3.639998276,1
3.269025499,3.739783493,3.739993043,3.439997042,3.439997936,3.639997995,1
3.289450071,3.739759113,3.739992116,3.439996609,3.439997627,3.639997694,1
3.317099469,3.739724839,3.739990784,3.439995981,3.439997177,3.639997255,1
3.362537924,3.739665541,3.739988409,3.439994842,3.439996357,3.639996456,1
3.40797638,3.739602754,3.739985808,3.439993576,3.43999544,3.639995562,1
3.453414836,3.739536718,3.739982987,3.439992184,3.439994428,3.639994575,1
3.514478694,3.739443252,3.739978864,3.43999012,3.43999292,3.639993103,1
3.596404751,3.739310008,3.739972753,3.43998701,3.439990636,3.639990871,1
3.678330808,3.739168429,3.739966,3.439983519,3.439988057,3.639988351,1
3.776704766,3.738988405,3.739957077,3.439978837,3.43998458,3.639984949,1
3.896673549,3.738755342,3.739945039,3.43997242,3.439979787,3.639980257,1
4.016642331,3.738508608,3.739931775,3.439965244,3.439974399,3.639974978,1
4.136611114,3.738249331,3.739917327,3.439957328,3.439968427,3.639969121,1
4.256579897,3.737978454,3.739901735,3.439948688,3.439961879,3.639962696,1
4.376548679,3.737696773,3.739885033,3.439939338,3.439954765,3.63995571,1
4.496517462,3.737404968,3.73986725,3.439929291,3.439947092,3.639948171,1
4.616486244,3.737103632,3.739848414,3.439918558,3.439938867,3.639940085,1
4.736455027,3.736793286,3.739828549,3.439907151,3.439930098,3.639931457,1
4.85642381,3.736474391,3.739807678,3.439895079,3.439920789,3.639922295,1
4.976392592,3.736147363,3.739785822,3.439882352,3.439910948,3.639912602,1
5,3.736082097,3.739781407,3.439879771,3.439908949,3.639910633,1
5,3.736082097,3.739781407,3.439879771,3.439908949,3.639910633,1
5,3.736082097,3.739781407,3.439879771,3.439908949,3.639910633,1
5.031152849,3.735996322,3.739775491,3.439876305,3.439906262,3.639907986,1
