"Time","PS_1","PS_2","PS_3","PS_4","PS_5","Y"
0,2.8,2.8,2.5,2.5,2.8,1
3,2.8,2.8,2.5,2.5,2.8,1
3,2.8,2.8,2.5,2.5,2.8,1
3,2.8,2.8,2.5,2.5,2.8,1
3.000000001,2.8,2.8,2.5,2.5,2.8,1
3.000000001,2.8,2.8,2.5,2.5,2.8,1
3.000000002,2.8,2.8,2.5,2.5,2.8,1
3.000000002,2.8,2.8,2.5,2.5,2.8,1
3.000000002,2.8,2.8,2.5,2.5,2.8,1
3.000000002,2.8,2.8,2.5,2.5,2.8,1
3.000000002,2.8,2.8,2.5,2.5,2.8,1
3.000000005,2.8,2.8,2.5,2.5,2.8,1
3.00000001,2.8,2.8,2.5,2.5,2.8,1
3.00000002,2.8,2.8,2.5,2.5,2.8,1
3.00000004,2.8,2.8,2.5,2.5,2.8,1
3.000000079,2.8,2.8,2.5,2.5,2.8,1
3.000000108,2.8,2.8,2.5,2.5,2.8,1
3.000000113,2.8,2.8,2.5,2.5,2.8,1
3.000000118,2.8,2.8,2.5,2.5,2.8,1
3.000000125,2.8,2.8,2.5,2.5,2.8,1
3.000000133,2.8,2.8,2.5,2.5,2.8,1
3.00000014,2.8,2.8,2.5,2.5,2.8,1
3.00000015,2.8,2.8,2.5,2.5,2.8,1
3.000000162,2.8,2.8,2.5,2.5,2.8,1
3.000000174,2.8,2.8,2.5,2.5,2.8,1
3.000000189,2.8,2.8,2.5,2.5,2.8,1
3.000000209,2.8,2.8,2.5,2.5,2.8,1
3.00000023,2.8,2.8,2.5,2.5,2.8,1
3.000000255,2.8,2.8,2.5,2.5,2.8,1
3.000000289,2.8,2.8,2.5,2.5,2.8,1
3.000000324,2.8,2.8,2.5,2.5,2.8,1
3.000000366,2.8,2.8,2.5,2.5,2.8,1
3.000000421,2.8,2.8,2.5,2.5,2.8,1
3.000000476,2.8,2.8,2.5,2.5,2.8,1
3.000000531,2.8,2.8,2.5,2.5,2.8,1
3.000000585,2.8,2.8,2.5,2.5,2.8,1
3.00000062,2.8,2.8,2.5,2.5,2.8,1
3.000000654,2.8,2.8,2.5,2.5,2.8,1
3.000000703,2.8,2.8,2.5,2.5,2.8,1
3.00000086,2.8,2.8,2.5,2.5,2.8,1
3.000001077,2.8,2.8,2.5,2.5,2.8,1
3.000001293,2.8,2.8,2.5,2.5,2.8,1
3.00000151,2.8,2.8,2.5,2.5,2.8,1
3.000001727,2.8,2.8,2.5,2.5,2.8,1
3.000002032,2.8,2.8,2.5,2.5,2.8,1
3.000002434,2.8,2.8,2.5,2.5,2.8,1
3.000002836,2.8,2.8,2.5,2.5,2.8,1
3.000003238,2.8,2.8,2.5,2.5,2.8,1
3.000003807,2.8,2.8,2.5,2.5,2.8,1
3.000004558,2.8,2.8,2.5,2.5,2.8,1
3.000005309,2.8,2.8,2.5,2.5,2.8,1
3.00000606,2.8,2.8,2.5,2.5,2.8,1
3.000007114,2.8,2.8,2.5,2.5,2.8,1
3.000008507,2.8,2.8,2.5,2.5,2.8,1
3.0000099,2.8,2.8,2.5,2.5,2.8,1
3.000011293,2.8,2.8,2.5,2.5,2.8,1
3.000013237,2.8,2.8,2.5,2.5,2.8,1
3.000015789,2.8,2.8,2.5,2.5,2.8,1
3.000018341,2.8,2.8,2.5,2.5,2.8,1
3.000020893,2.8,2.8,2.5,2.5,2.8,1
3.000024451,2.8,2.8,2.5,2.5,2.8,1
3.000029094,2.8,2.8,2.5,2.5,2.8,1
3.000034282,2.799999999,2.8,2.5,2.5,2.8,1
3.00003947,2.799999999,2.8,2.5,2.5,2.8,1
3.000045889,2.799999999,2.8,2.5,2.5,2.8,1
3.000054085,2.799999999,2.8,2.5,2.5,2.8,1
3.000063573,2.799999999,2.8,2.5,2.5,2.8,1
3.00007306,2.799999998,2.8,2.5,2.5,2.8,1
3.000084718,2.799999998,2.8,2.5,2.5,2.8,1
3.000094492,2.799999998,2.8,2.5,2.5,2.8,1
3.000103936,2.799999997,2.8,2.5,2.5,2.8,1
3.000119914,2.799999997,2.8,2.5,2.5,2.8,1
3.000142163,2.799999996,2.8,2.5,2.5,2.8,1
3.000164412,2.799999995,2.8,2.5,2.5,2.8,1
3.000186661,2.799999994,2.8,2.5,2.5,2.8,1
3.000216247,2.799999992,2.8,2.5,2.5,2.8,1
3.000254073,2.79999999,2.8,2.5,2.5,2.8,1
3.000296224,2.799999988,2.8,2.5,2.5,2.8,1
3.000338374,2.799999985,2.8,2.5,2.5,2.8,1
3.000389887,2.799999982,2.8,2.5,2.5,2.8,1
